
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.01
CH3CO3                        0.000000e+00        1.178873e-27
CH3CO2                        0.000000e+00        5.912262e-29
C2H5OH                        0.000000e+00        5.067380e-30
C2H5O                         0.000000e+00        2.346429e-37
PC2H4OH                       0.000000e+00        8.866329e-33
SC2H4OH                       0.000000e+00        6.112214e-31
O2C2H4OH                      0.000000e+00        1.568259e-30
C2H5O2H                       0.000000e+00        0.000000e+00
C2H5O2                        0.000000e+00        0.000000e+00
C2H4O2H                       0.000000e+00        0.000000e+00
C2H4O1-2                      0.000000e+00        0.000000e+00
C2H3O1-2                      0.000000e+00        4.977172e-26
CH3COCH3                      0.000000e+00        1.207654e-35
CH3COCH2                      0.000000e+00        4.670315e-34
CH3COCH2O2                    0.000000e+00        1.729778e-35
C3KET21                       0.000000e+00        1.168113e-42
C2H3CHO                       0.000000e+00        2.112270e-23
C2H3CO                        0.000000e+00        2.235148e-30
C2H5CHO                       0.000000e+00        7.105845e-42
C2H5CO                        0.000000e+00        2.292540e-39
CH3OCH3                       0.000000e+00        7.083211e-35
CH3OCH2                       0.000000e+00        0.000000e+00
CH3OCH2O2                     0.000000e+00        0.000000e+00
CH2OCH2O2H                    0.000000e+00        6.164090e-38
CH3OCH2O2H                    0.000000e+00        0.000000e+00
CH3OCH2O                      0.000000e+00        1.484804e-36
O2CH2OCH2O2H                  0.000000e+00        2.290338e-39
HO2CH2OCHO                    0.000000e+00        1.008646e-33
OCH2OCHO                      0.000000e+00        1.176803e-30
HOCH2OCO                      0.000000e+00        2.125707e-29
CH3OCHO                       0.000000e+00        0.000000e+00
CH3OCO                        0.000000e+00        6.489133e-30
CH2OCHO                       0.000000e+00        5.971747e-32
HE                            0.000000e+00        0.000000e+00
C3H8                          0.000000e+00        0.000000e+00
IC3H7                         0.000000e+00        1.142444e-36
NC3H7                         0.000000e+00        2.506466e-35
C3H6                          0.000000e+00        3.822511e-33
C3H5-A                        0.000000e+00        6.272041e-34
C3H5-S                        0.000000e+00        6.529956e-34
C3H5-T                        0.000000e+00        1.071784e-36
C3H4-P                        0.000000e+00        2.876997e-30
C3H4-A                        0.000000e+00        4.451016e-31
C3H3                          0.000000e+00        3.204219e-30
C3H5O                         0.000000e+00        4.229951e-35
C3H6OOH1-2                    0.000000e+00        5.854001e-39
C3H6OOH1-3                    0.000000e+00        2.360801e-40
C3H6OOH2-1                    0.000000e+00        7.167745e-39
C3H6OOH1-2O2                  0.000000e+00        4.236308e-41
C3H6OOH1-3O2                  0.000000e+00        1.843064e-42
C3H6OOH2-1O2                  0.000000e+00        5.577927e-41
C3H6OOH2-2                    0.000000e+00        5.018257e-40
NC3H7O2H                      0.000000e+00        0.000000e+00
IC3H7O2H                      0.000000e+00        0.000000e+00
NC3H7O2                       0.000000e+00        8.515763e-39
IC3H7O2                       0.000000e+00        1.816064e-38
NC3H7O                        0.000000e+00        0.000000e+00
IC3H7O                        0.000000e+00        1.072730e-38
C3H6O1-2                      0.000000e+00        1.571419e-39
C3H6O1-3                      0.000000e+00        3.512130e-40
C3KET12                       0.000000e+00        1.165482e-43
C3KET13                       0.000000e+00        1.570707e-45
C3H51-2A3OOH                  0.000000e+00        4.475094e-40
C3H52-1A3OOH                  0.000000e+00        1.587524e-40
C3H6OH                        0.000000e+00        1.267512e-38
HOC3H6O2                      0.000000e+00        2.671475e-40
CH3CHCO                       0.000000e+00        8.850229e-27
AC3H5OOH                      0.000000e+00        2.138730e-38
C2H3OOH                       0.000000e+00        1.196284e-33
CC3H4                         0.000000e+00        4.523802e-33
H2CC                          0.000000e+00        1.255549e-23
-----------------------------------------------------------------------------
